year,region,region_arrivals,year_total,share,share_percent
2000,Asia,2022120,4390210,0.4605975568366889,46.05975568366889
2025,Asia,4277840,8031220,0.5326513281917318,53.265132819173175
2000,Europe,901750,4390210,0.2054001972570788,20.540019725707882
2025,Europe,1306980,8031220,0.1627374172292628,16.273741722926278
2000,North America,576410,4390210,0.13129440277344365,13.129440277344365
2025,North America,916590,8031220,0.11412836405925875,11.412836405925875
2000,Oceania,817030,4390210,0.18610271490429842,18.61027149042984
2025,Oceania,1435050,8031220,0.17868393593999418,17.868393593999418
2000,Other,72900,4390210,0.01660512822849021,1.660512822849021
2025,Other,94760,8031220,0.011798954579752515,1.1798954579752516
